	INDIGNATO	PREOCCUPATO	TRISTE	DIVERTITO	SODDISFATTO
15#n	0.13999760658749769	0.2840425470266105	0.08242548021264647	0.27801333447841214	0.21552103169483317
17enne#n	0.14973675203181744	0.1234244609038987	0.39861768647672247	0.17088004720645897	0.1573410533811024
18enne#n	0.17095607691354534	0.18043740993799592	0.2845305734221221	0.1827955626549375	0.18128037707139916
1994#n	0.1414891835341276	0.28981917229533405	0.3071620487869333	0.12074433911834698	0.14078525626525806
19enne#n	0.05831045482664147	0.3237050825821494	0.2763853810347952	0.10077813576258324	0.24082094579383062
2015#n	0.2511393762883246	0.2089967216176092	0.11328627977589702	0.18730537931335892	0.2392722430048103
20enne#n	0.08456762599490064	0.07182597384054559	0.261793792729059	0.04852951709045167	0.5332830903450431
22enne#n	0.15136990816931958	0.15276099568073245	0.22503933655998098	0.2398780015178346	0.2309517580721325
23enne#n	0.11175541902579565	0.30560904470705214	0.31718569655654555	0.2014580526035837	0.06399178710702287
24enne#n	0.08800758119772091	0.16397391478017317	0.18199374282168773	0.3148280229890794	0.2511967382113387
25enne#n	0.13501700933494865	0.10318350450538366	0.5713514823013716	0.03030818623625165	0.16013981762204457
26enne#n	0.10223749638825323	0.20957039135254182	0.26257923570757913	0.20982065761231358	0.21579221893931227
27enne#n	0.2312250780996267	0.10221468551001066	0.20479087340090824	0.15472498672999616	0.30704437625945835
28enne#n	0.14999389781283126	0.2727731215652106	0.23989569401692895	0.175317505493444	0.16201978111158505
29enne#n	0.09056831380501493	0.4959137735215388	0.07946699086151035	0.21660823057413617	0.11744269123779964
37enne#n	0.1718263209475624	0.1557808993979462	0.19056374205873317	0.34457361547795795	0.13725542211780023
3d#n	0.061111275624856694	0.0751219149560658	0.04371372679750028	0.4953334365562968	0.3247196460652804
3g#n	0.009965540001929158	0.25666837942937776	0.021690511161772758	0.2842096198391294	0.427465949567791
40enne#n	0.14886307327307466	0.1686604035671513	0.4210088121829007	0.1305228590309091	0.13094485194596414
4g#n	0.07592260340355535	0.35749991529981423	0.036203870549282945	0.3414550054427459	0.18891860530460167
5s#n	0.0955211830444608	0.24563621091555396	0.1602446034289838	0.28637240752157767	0.21222559508942365
a2#n	0.38623213683884094	0.10555550547899782	0.2175017237196465	0.0929103364954882	0.19780029746702646
a2a#n	0.24109007468915888	0.3408272585946706	0.10473158213666839	0.07549298619384272	0.23785809838565947
a4#n	0.22880836759701087	0.13192885886758063	0.24359894075406865	0.17717831319378882	0.21848551958755102
abadi#n	0.24207922054113068	0.3896771670732881	0.2561799346834215	0.022409587472494587	0.08965409022966533
abate#n	0.1830882184151867	0.15640643380918168	0.1477325974131163	0.31987347047250836	0.19289927989000705
abbandonare#v	0.19002818961566098	0.20861576894685738	0.22583039794306203	0.16858321879265856	0.20694242470176108
abbandonato#a	0.1842147951831295	0.18919300518666277	0.2653631531461334	0.15706733069193873	0.20416171579213566
abbandono#n	0.19874015375105775	0.21389265850857503	0.19154000575845498	0.19099410726115962	0.20483307472075263
abbas#n	0.19870994928616936	0.202611840655708	0.13833895758388315	0.2514007376108543	0.20893851486338522
abbassamento#n	0.24276207039709635	0.24938677085193348	0.13425405035048216	0.18733202257156062	0.18626508582892748
abbassare#a	0.27560442603650076	0.24225834897132867	0.18837266626513682	0.18258759542450595	0.11117696330252783
abbassare#v	0.2413503396508714	0.2116091637373751	0.14142246798050792	0.18134448249888058	0.22427354613236503
abbastanza#n	0.20978667069692392	0.2586220650930881	0.07684542466649376	0.2280872595394657	0.2266585800040286
abbastanza#r	0.1483190878672987	0.2366523757516214	0.14938198444900042	0.21119186170493834	0.2544546902271412
abbattere#v	0.20577880315228192	0.22912355264874557	0.26935905642964214	0.14590391868896807	0.1498346690803623
abbattimento#n	0.2923407780586844	0.23088937435841062	0.16841696209223833	0.147081549890836	0.1612713355998305
abbiati#n	0.1076570573720651	0.0377168152034117	0.24642032494880267	0.4215705479020011	0.1866352545737194
abbiente#a	0.25795396574673457	0.17910957909773287	0.21820799196362797	0.16203504149347023	0.18269342169843433
abbigliamento#n	0.1509928002435111	0.23731161678082535	0.1753436489866284	0.25607508763966325	0.18027684634937188
abbinamento#n	0.07977633127739298	0.15294251209333729	0.017282300590287496	0.6505208760579773	0.09947797998100505
abbinare#v	0.12471784569299113	0.1653723221601386	0.0869123319031326	0.43078946767322035	0.1922080325705173
abbonamento#n	0.15139853100038747	0.18255953629208238	0.08105008041577605	0.3533233737839021	0.23166847850785202
abbonato#n	0.20475363081714376	0.2845770162524062	0.12786119240610067	0.22762230841515338	0.1551858521091959
abbondante#a	0.09449746416334114	0.2796499921829516	0.19694074057671074	0.23640883246965994	0.19250297060733673
abbondantemente#r	0.18226150526605156	0.3282935962611654	0.10973858945038684	0.2480939983958841	0.131612310626512
abbondanza#n	0.1507518333630291	0.242758231449291	0.22208484318391306	0.22436530823861855	0.16003978376514827
abbondare#v	0.21652458728681062	0.1934205047135172	0.12034212549327081	0.2195131730292099	0.2501996094771916
abbordabile#a	0.15430316177394138	0.14317316156274368	0.10919945899336142	0.4171651884763789	0.1761590291935747
abbozzare#v	0.14889978701098394	0.31262156446922523	0.12042865395018232	0.14989980014097473	0.2681501944286338
abbracciare#v	0.17367983237561094	0.1967184227030522	0.17186609322802393	0.17783690699570137	0.2798987446976115
abbraccio#n	0.17546929590531304	0.14916292319367236	0.22727654682325185	0.19533553650548932	0.2527556975722735
abbreviare#a	0.3084237709583046	0.1602668625794512	0.16341502912460643	0.12221543676333599	0.24567890057430183
abbreviare#v	0.2178582210322613	0.25849961274479494	0.1294377129753583	0.2064090338615421	0.1877954193860433
abc#n	0.1690898370670138	0.2689860283117716	0.22356223888755372	0.20282861558885681	0.13553328014480406
abdel#n	0.2921010814746101	0.38603630770146774	0.18591324244334503	0.03309815699233488	0.10285121138824223
abdicare#v	0.10181571990125819	0.15049521575521907	0.21823923291352654	0.2190665733108162	0.31038325811917994
abdul#n	0.10971151665037121	0.2538514393791627	0.47741315422575165	0.0829719628786022	0.07605192686611219
abdullah#n	0.382134320457692	0.1325829867155728	0.17418336322292366	0.1237694917311726	0.18732983787263882
abe#n	0.10170775140625284	0.3459553581778486	0.04723449446333536	0.30409889671049134	0.2010034992420718
abete#n	0.24232572890628884	0.17358073286936565	0.23631670399558893	0.13973498068308246	0.20804185354567414
abi#n	0.2766042901209198	0.1951614574600375	0.14358979523303092	0.17087243815177566	0.21377201903423623
abile#a	0.14514968807164788	0.20626252966708497	0.23929077593314596	0.19511555720165472	0.2141814491264664
abilitare#v	0.19892278807108987	0.2862981903344637	0.13417196160438344	0.2083445411350426	0.17226251885502042
abilitazione#n	0.3846624884170475	0.23136498816220377	0.10119440576559115	0.15443423161755182	0.1283438860376058
abisso#n	0.16758273706528393	0.21772227131226193	0.1951249584340287	0.294961898939285	0.1246081342491405
abitacolo#n	0.08947945557295092	0.1707183600963979	0.3886574230281756	0.1735495405880164	0.17759522071445924
abitante#n	0.18830267407230436	0.1973864678181072	0.23775794544528434	0.1803652129963871	0.196187699667917
abitare#v	0.1572445246675292	0.1891494678537887	0.2169091748516485	0.24644562759878022	0.19025120502825343
abitativo#a	0.2632229303342999	0.2592018556593377	0.0934359906875815	0.152056477122028	0.23208274619675281
abitato#a	0.11941389297573653	0.22018738015334452	0.22229240180006812	0.13084159501295806	0.30726473005789284
abitazione#n	0.27115038146677234	0.20062616695394034	0.30120332194675176	0.1197357554047831	0.10728437422775257
abito#n	0.10877119397400695	0.15593347983119973	0.1781029193578569	0.4049788112802839	0.15221359555665262
abituale#a	0.2198251430328452	0.19384824115192928	0.11886396204131827	0.2881781636541864	0.17928449011972078
abitualmente#r	0.28029055244056195	0.14989122940433575	0.17820778228323675	0.14559421440386372	0.2460162214680018
abituare#v	0.1456592012363493	0.22152428254074852	0.1646040123667461	0.24454604197946295	0.22366646187669303
abitudine#n	0.1544949938958776	0.18893544405345	0.18336373169884918	0.2529815236350621	0.22022430671676102
abnorme#a	0.39589599004328807	0.1736561655413702	0.22401417374360127	0.06436501971986416	0.14206865095187624
abolire#v	0.2977877244977596	0.15312336234827936	0.08958521431512592	0.23478231790576135	0.22472138093307378
abolizione#n	0.32247307204324294	0.14096726249430136	0.06988824326732582	0.21953897527069785	0.24713244692443212
abortire#v	0.1438216154982497	0.2470674776132782	0.4300767060920592	0.1064471310493105	0.07258706974710234
aborto#n	0.1520261955391209	0.2450453648025995	0.20837574214038423	0.21112028670637545	0.18343241081151987
abrogare#v	0.2657885152830756	0.2997338233836517	0.19157015333183863	0.07560444836823357	0.16730305963320052
abrogativo#a	0.2919042707762038	0.06655546265655217	0.23439333695693806	0.12034923956196643	0.28679769004833944
abruzzese#a	0.19693421642524903	0.152555821067975	0.17399771415341952	0.18339955126949048	0.29311269708386595
abruzzo#n	0.1823727744549495	0.21758524997029202	0.2230436662981727	0.1443760961810603	0.23262221309552547
abs#n	0.18662193241295294	0.4504944431198744	0.04918503847247324	0.06410726701032542	0.24959131898437395
abu#n	0.2645578144206268	0.22690658905838512	0.19902424314779144	0.11647331169610921	0.19303804167708735
abusare#v	0.28601754159892173	0.14102110349918304	0.1485220171723088	0.2441934194943411	0.1802459182352454
abusivismo#n	0.2843693300870195	0.13199417469798672	0.07457290158519975	0.19301972355666264	0.3160438700731314
abusivo#a	0.25827985440102874	0.18368831809713645	0.21484177455854717	0.13274883258538384	0.21044122035790389
abuso#n	0.30984431472244206	0.16557276563994122	0.16542858610344086	0.13857542964511638	0.22057890388905949
academy#n	0.11566261362173463	0.1768010890747937	0.169206804302884	0.1600656143367617	0.37826387866382594
accademia#n	0.10413730316315693	0.1311885672432536	0.2752766411366299	0.23947751802908948	0.24991997042787
accademico#a	0.153575577797334	0.2602588634211182	0.1503349559306998	0.21627111811976682	0.2195594847310813
accademico#n	0.27251965947670354	0.09753690783539358	0.30234620901667464	0.09625380475004178	0.23134341892118637
accadere#a	0.18174060003410714	0.2272906822695578	0.06465801895269989	0.269978663854479	0.2563320348891562
accadere#v	0.20154315359714764	0.2139951289443744	0.2556281492965757	0.1755405057590992	0.15329306240280302
accampamento#n	0.14235007793424392	0.16652307488724818	0.2272562838158557	0.22714197186000282	0.23672859150264935
accampare#v	0.23557060842179864	0.1700540010095522	0.21129425316461548	0.21042124579096688	0.17265989161306683
accanimento#n	0.292367919739589	0.23339226775645977	0.20826640630211163	0.10248914462516676	0.16348426157667284
accanto#r	0.15388211357603873	0.1788049702163403	0.1885040947682728	0.24486766807946012	0.2339411533598881
accantonamento#n	0.3568649424645067	0.21634665390757363	0.05222161699145603	0.23814555670327803	0.13642122993318564
accantonare#v	0.30939689069137993	0.18793617473316931	0.13793741845381333	0.1617068697110745	0.20302264641056295
accaparrare#v	0.3124880726363579	0.11371902275526738	0.15683294205976117	0.2633741873420082	0.15358577520660535
accarezzare#v	0.1405793487408349	0.1494898347547274	0.21340729112744233	0.3027928004473724	0.19373072492962298
accasciare#v	0.19624287669783316	0.16232561039013965	0.4861115230238171	0.06440548500294783	0.09091450488526236
accattivante#a	0.08688764271614531	0.16541193844691965	0.1886314549841681	0.23802826616840173	0.3210406976843652
accavallare#v	0.10202595677876634	0.2935255593111378	0.2949087159388998	0.13211942070601085	0.1774203472651853
accecare#v	0.11962920012731908	0.1266883332732434	0.1628636962728001	0.338882634014343	0.2519361363122944
accedere#v	0.16994792735227177	0.19281799327984062	0.12067010976991308	0.26215194690969484	0.2544120226882797
accelerare#v	0.2145858763710784	0.26094395364063655	0.14272136548728034	0.15012266314837097	0.23162614135263362
acceleratore#n	0.1494528327676811	0.30071530421591064	0.12557715384726026	0.1608694441869132	0.26338526498223486
accelerazione#n	0.18817339108434325	0.24584912443529613	0.17086202050724927	0.18782296327169073	0.20729250070142063
accendere#v	0.20175754440916732	0.17203083691658952	0.16377031825235636	0.251963355542351	0.21047794487953583
accennare#v	0.18234040017472142	0.20157745460343765	0.12490564452090476	0.2894188081681222	0.20175769253281386
accenno#n	0.23663344559884822	0.1896992147630189	0.1615164293449467	0.22654717729419388	0.1856037329989923
accensione#n	0.13614118968200842	0.13566080932549215	0.07905409787657557	0.2654798094414292	0.3836640936744947
accento#n	0.2244995763097673	0.24250658704738096	0.1633247669886619	0.1795690977690648	0.19009997188512512
accentuare#v	0.20594713027286035	0.2605849036410935	0.2161465809558567	0.13453665474531515	0.18278473038487428
